id,name,description,category,hsn_code,meta,created_at,updated_at,category_code
220,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF 600 MM OR MORE, COLD-ROLLED (COLDREDUCED), NOT CLAD, PLATED OR COATED - NOT IN COILS, NOT FURTHER WORKED THAN COLD-ROLLED (COLD-REDUCED) : OF A THICKNESS OF 3 MM OR MORE : SHEETS",,Iron and Steel,72092520,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
221,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF 600 MM OR MORE, COLD-ROLLED (COLDREDUCED), NOT CLAD, PLATED OR COATED - NOT IN COILS, NOT FURTHER WORKED THAN COLD-ROLLED (COLD-REDUCED) : OF A THICKNESS OF 3 MM OR MORE : STRIP",,Iron and Steel,72092530,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
222,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF 600 MM OR MORE, COLD-ROLLED (COLDREDUCED), NOT CLAD, PLATED OR COATED - NOT IN COILS, NOT FURTHER WORKED THAN COLD-ROLLED (COLD-REDUCED) : OF A THICKNESS OF 3 MM OR MORE : OTHER",,Iron and Steel,72092590,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
223,Of a thickness excddeing 1 mm but less than 3 mm,,Iron and Steel,720926,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
224,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF 600 MM OR MORE, COLD-ROLLED (COLDREDUCED), NOT CLAD, PLATED OR COATED - NOT IN COILS, NOT FURTHER WORKED THAN COLD-ROLLED (COLD-REDUCED) : OF A THICKNESS EXCEEDING 1 MM BUT LESS THAN 3 MM : P...",,Iron and Steel,72092610,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
225,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF 600 MM OR MORE, COLD-ROLLED (COLDREDUCED), NOT CLAD, PLATED OR COATED - NOT IN COILS, NOT FURTHER WORKED THAN COLD-ROLLED (COLD-REDUCED) : OF A THICKNESS EXCEEDING 1 MM BUT LESS THAN 3 MM : S...",,Iron and Steel,72092620,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
226,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF 600 MM OR MORE, COLD-ROLLED (COLDREDUCED), NOT CLAD, PLATED OR COATED - NOT IN COILS, NOT FURTHER WORKED THAN COLD-ROLLED (COLD-REDUCED) : OF A THICKNESS EXCEEDING 1 MM BUT LESS THAN 3 MM : S...",,Iron and Steel,72092630,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
227,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF 600 MM OR MORE, COLD-ROLLED (COLDREDUCED), NOT CLAD, PLATED OR COATED - NOT IN COILS, NOT FURTHER WORKED THAN COLD-ROLLED (COLD-REDUCED) : OF A THICKNESS EXCEEDING 1 MM BUT LESS THAN 3 MM : O...",,Iron and Steel,72092690,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
228,Of a thickness of 0.5 mm or more but not exceeding 1 mm,,Iron and Steel,720927,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
229,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF 600 MM OR MORE, COLD-ROLLED (COLDREDUCED), NOT CLAD, PLATED OR COATED - NOT IN COILS, NOT FURTHER WORKED THAN COLD-ROLLED (COLD-REDUCED) : OF A THICKNESS OF 0.5 MM OR MORE BUT NOT EXCEEDING 1...",,Iron and Steel,72092710,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
230,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF 600 MM OR MORE, COLD-ROLLED (COLDREDUCED), NOT CLAD, PLATED OR COATED - NOT IN COILS, NOT FURTHER WORKED THAN COLD-ROLLED (COLD-REDUCED) : OF A THICKNESS OF 0.5 MM OR MORE BUT NOT EXCEEDING 1...",,Iron and Steel,72092720,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
231,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF 600 MM OR MORE, COLD-ROLLED (COLDREDUCED), NOT CLAD, PLATED OR COATED - NOT IN COILS, NOT FURTHER WORKED THAN COLD-ROLLED (COLD-REDUCED) : OF A THICKNESS OF 0.5 MM OR MORE BUT NOT EXCEEDING 1...",,Iron and Steel,72092730,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
232,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF 600 MM OR MORE, COLD-ROLLED (COLDREDUCED), NOT CLAD, PLATED OR COATED - NOT IN COILS, NOT FURTHER WORKED THAN COLD-ROLLED (COLD-REDUCED) : OF A THICKNESS OF 0.5 MM OR MORE BUT NOT EXCEEDING 1...",,Iron and Steel,72092790,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
233,Of a thickness of less than 0.5 mm,,Iron and Steel,720928,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
234,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF 600 MM OR MORE, COLD-ROLLED (COLDREDUCED), NOT CLAD, PLATED OR COATED - NOT IN COILS, NOT FURTHER WORKED THAN COLD-ROLLED (COLD-REDUCED) : OF A THICKNESS OF LESS THAN 0.5 MM : PLATES",,Iron and Steel,72092810,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
422,WIRE OF IRON OR NON-ALLOY STEEL - OTHER : OTHER : ELECTRODE QUALITY,,Iron and Steel,72179092,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
235,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF 600 MM OR MORE, COLD-ROLLED (COLDREDUCED), NOT CLAD, PLATED OR COATED - NOT IN COILS, NOT FURTHER WORKED THAN COLD-ROLLED (COLD-REDUCED) : OF A THICKNESS OF LESS THAN 0.5 MM : SHEETS",,Iron and Steel,72092820,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
236,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF 600 MM OR MORE, COLD-ROLLED (COLDREDUCED), NOT CLAD, PLATED OR COATED - NOT IN COILS, NOT FURTHER WORKED THAN COLD-ROLLED (COLD-REDUCED) : OF A THICKNESS OF LESS THAN 0.5 MM : STRIP",,Iron and Steel,72092830,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
237,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF 600 MM OR MORE, COLD-ROLLED (COLDREDUCED), NOT CLAD, PLATED OR COATED - NOT IN COILS, NOT FURTHER WORKED THAN COLD-ROLLED (COLD-REDUCED) : OF A THICKNESS OF LESS THAN 0.5 MM : OTHER",,Iron and Steel,72092890,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
238,"IRON AND STEEL~Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, cold- rolled (cold-reduced), not clad, plated or",,Iron and Steel,720990,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
239,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF 600 MM OR MORE, COLD-ROLLED (COLDREDUCED), NOT CLAD, PLATED OR COATED - OTHER",,Iron and Steel,72099000,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
240,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF 600 MM OR MORE, CLAD, PLATED OR COATED - Plated or coated with tin",,Iron and Steel,7210,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
241,Of a thickness of 0.5 mm or more,,Iron and Steel,721011,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
242,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF 600 MM OR MORE, CLAD, PLATED OR COATED - PLATED OR COATED WITH TIN : OF A THICKNESS OF 0.5 MM OR MORE : OTS/MR TYPE",,Iron and Steel,72101110,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
243,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF 600 MM OR MORE, CLAD, PLATED OR COATED - PLATED OR COATED WITH TIN : OF A THICKNESS OF 0.5 MM OR MORE : OTHER",,Iron and Steel,72101190,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
244,Of a thickness of less than 0.5 mm,,Iron and Steel,721012,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
245,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF 600 MM OR MORE, CLAD, PLATED OR COATED - PLATED OR COATED WITH TIN : OF A THICKNESS OF LESS THAN 0.5 MM: OTS/MR TYPE",,Iron and Steel,72101210,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
246,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF 600 MM OR MORE, CLAD, PLATED OR COATED - PLATED OR COATED WITH TIN : OF A THICKNESS OF LESS THAN 0.5 MM: OTHER",,Iron and Steel,72101290,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
247,"IRON AND STEEL~Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, clad, plated or coated~Plated or coated with lead, including terne-plate",,Iron and Steel,721020,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
248,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF 600 MM OR MORE, CLAD, PLATED OR COATED - PLATED OR COATED WITH LEAD, INCLUDING TERNE-PLATE",,Iron and Steel,72102000,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
249,Electrolytically plated or coated with zinc :,,Iron and Steel,721030,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
250,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF 600 MM OR MORE, CLAD, PLATED OR COATED - ELECTROLYTICALLY PLATED OR COATED WITH ZINC :CORRUGATED",,Iron and Steel,72103010,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
251,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF 600 MM OR MORE, CLAD, PLATED OR COATED - ELECTROLYTICALLY PLATED OR COATED WITH ZINC :OTHER",,Iron and Steel,72103090,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
252,Galvannealed,,Iron and Steel,72103091,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
253,Other,,Iron and Steel,72103099,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
254,"IRON AND STEEL~Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, clad, plated or coated~Corrugated",,Iron and Steel,721041,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
255,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF 600 MM OR MORE, CLAD, PLATED OR COATED - OTHERWISE PLATED OR COATED WITH ZINC : CORRUGATED",,Iron and Steel,72104100,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
256,Other:,,Iron and Steel,721049,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
257,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF 600 MM OR MORE, CLAD, PLATED OR COATED - OTHERWISE PLATED OR COATED WITH ZINC : OTHER",,Iron and Steel,72104900,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
258,Galvannealed,,Iron and Steel,72104910,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
259,Other,,Iron and Steel,72104990,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
260,"IRON AND STEEL~Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, clad, plated or coated~Plated or coated with chromium oxides or with chromium and chromium oxides",,Iron and Steel,721050,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
261,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF 600 MM OR MORE, CLAD, PLATED OR COATED - PLATED OR COATED WITH CHROMIUM OXIDES OR WITH CHROMIUM AND CHROMIUM OXIDES",,Iron and Steel,72105000,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
262,"IRON AND STEEL~Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, clad, plated or coated~Plated or coated with aluminium-zinc alloys",,Iron and Steel,721061,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
263,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF 600 MM OR MORE, CLAD, PLATED OR COATED - PLATED OR COATED WITH ALUMINIUM : PLATED OR COATED WITH ALUMINIUM-ZINC ALLOYS",,Iron and Steel,72106100,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
264,"IRON AND STEEL~Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, clad, plated or coated~Other",,Iron and Steel,721069,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
265,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF 600 MM OR MORE, CLAD, PLATED OR COATED - PLATED OR COATED WITH ALUMINIUM : OTHER",,Iron and Steel,72106900,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
266,"IRON AND STEEL~Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, clad, plated or coated~Painted, varnished or coated with plastics",,Iron and Steel,721070,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
267,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF 600 MM OR MORE, CLAD, PLATED OR COATED - PAINTED, VARNISHED OR COATED WITH PLASTICS",,Iron and Steel,72107000,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
268,Other,,Iron and Steel,721090,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
269,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF 600 MM OR MORE, CLAD, PLATED OR COATED - OTHER : LACQUERED",,Iron and Steel,72109010,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
270,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF 600 MM OR MORE, CLAD, PLATED OR COATED - OTHER : OTHER",,Iron and Steel,72109090,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
592,"Other, not further worked than hot-rolled, in coils",,Iron and Steel,722530,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
273,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF LESS THAN 600 MM, NOT CLAD, PLATED OR COATED - NOT FURTHER WORKED THAN HOT-ROLLED : ROLLED ON FOUR FACES OR IN A CLOSED BOX PASS, OF A WIDTH EXCEEDING 150 MM AND A THICKNESS OF NOT LESS THAN ...",,Iron and Steel,72111300,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
274,"Other, of a thickness of 4.75 mm or more",,Iron and Steel,721114,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
275,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF LESS THAN 600 MM, NOT CLAD, PLATED OR COATED - NOT FURTHER WORKED THAN HOT-ROLLED : OTHER, OF A THICKNESS OF 4.75 MM OR MORE : FLATS",,Iron and Steel,72111410,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
276,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF LESS THAN 600 MM, NOT CLAD, PLATED OR COATED - NOT FURTHER WORKED THAN HOT-ROLLED : OTHER, OF A THICKNESS OF 4.75 MM OR MORE : UNIVERSAL PLATES",,Iron and Steel,72111420,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
277,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF LESS THAN 600 MM, NOT CLAD, PLATED OR COATED - NOT FURTHER WORKED THAN HOT-ROLLED : OTHER, OF A THICKNESS OF 4.75 MM OR MORE : HOOPS",,Iron and Steel,72111430,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
278,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF LESS THAN 600 MM, NOT CLAD, PLATED OR COATED - NOT FURTHER WORKED THAN HOT-ROLLED : OTHER, OF A THICKNESS OF 4.75 MM OR MORE : SHEETS",,Iron and Steel,72111440,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
279,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF LESS THAN 600 MM, NOT CLAD, PLATED OR COATED - NOT FURTHER WORKED THAN HOT-ROLLED : OTHER, OF A THICKNESS OF 4.75 MM OR MORE : STRIP",,Iron and Steel,72111450,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
280,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF LESS THAN 600 MM, NOT CLAD, PLATED OR COATED - NOT FURTHER WORKED THAN HOT-ROLLED : OTHER, OF A THICKNESS OF 4.75 MM OR MORE : SKELP",,Iron and Steel,72111460,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
281,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF LESS THAN 600 MM, NOT CLAD, PLATED OR COATED - NOT FURTHER WORKED THAN HOT-ROLLED : OTHER, OF A THICKNESS OF 4.75 MM OR MORE : OTHER",,Iron and Steel,72111490,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
282,Other,,Iron and Steel,721119,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
283,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF LESS THAN 600 MM, NOT CLAD, PLATED OR COATED - NOT FURTHER WORKED THAN HOT-ROLLED : OTHER : FLATS",,Iron and Steel,72111910,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
284,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF LESS THAN 600 MM, NOT CLAD, PLATED OR COATED - NOT FURTHER WORKED THAN HOT-ROLLED : OTHER : UNIVERSAL PLATES",,Iron and Steel,72111920,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
285,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF LESS THAN 600 MM, NOT CLAD, PLATED OR COATED - NOT FURTHER WORKED THAN HOT-ROLLED : OTHER : HOOPS",,Iron and Steel,72111930,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
286,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF LESS THAN 600 MM, NOT CLAD, PLATED OR COATED - NOT FURTHER WORKED THAN HOT-ROLLED : OTHER : SHEETS",,Iron and Steel,72111940,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
287,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF LESS THAN 600 MM, NOT CLAD, PLATED OR COATED - NOT FURTHER WORKED THAN HOT-ROLLED : OTHER : STRIP",,Iron and Steel,72111950,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
288,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF LESS THAN 600 MM, NOT CLAD, PLATED OR COATED - NOT FURTHER WORKED THAN HOT-ROLLED : OTHER : SKELP",,Iron and Steel,72111960,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
289,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF LESS THAN 600 MM, NOT CLAD, PLATED OR COATED - NOT FURTHER WORKED THAN HOT-ROLLED : OTHER : OTHER",,Iron and Steel,72111990,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
290,Containing by weight less than 0.20% of carbon,,Iron and Steel,721123,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
291,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF LESS THAN 600 MM, NOT CLAD, PLATED OR COATED - NOT FURTHER WORKED THAN COLD-ROLLED (COLD-REDUCED) : CONTAINING BY WEIGHT LESS THAN 0.25% OF CARBON: FLATS",,Iron and Steel,72112310,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
292,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF LESS THAN 600 MM, NOT CLAD, PLATED OR COATED - NOT FURTHER WORKED THAN COLD-ROLLED (COLD-REDUCED) : CONTAINING BY WEIGHT LESS THAN 0.25% OF CARBON: UNIVERSAL PLATES",,Iron and Steel,72112320,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
293,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF LESS THAN 600 MM, NOT CLAD, PLATED OR COATED - NOT FURTHER WORKED THAN COLD-ROLLED (COLD-REDUCED) : CONTAINING BY WEIGHT LESS THAN 0.25% OF CARBON: HOOPS",,Iron and Steel,72112330,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
294,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF LESS THAN 600 MM, NOT CLAD, PLATED OR COATED - NOT FURTHER WORKED THAN COLD-ROLLED (COLD-REDUCED) : CONTAINING BY WEIGHT LESS THAN 0.25% OF CARBON: SHEETS",,Iron and Steel,72112340,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
295,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF LESS THAN 600 MM, NOT CLAD, PLATED OR COATED - NOT FURTHER WORKED THAN COLD-ROLLED (COLD-REDUCED) : CONTAINING BY WEIGHT LESS THAN 0.25% OF CARBON: STRIP",,Iron and Steel,72112350,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
296,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF LESS THAN 600 MM, NOT CLAD, PLATED OR COATED - NOT FURTHER WORKED THAN COLD-ROLLED (COLD-REDUCED) : CONTAINING BY WEIGHT LESS THAN 0.25% OF CARBON: OTHER",,Iron and Steel,72112390,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
297,Other,,Iron and Steel,721129,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
298,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF LESS THAN 600 MM, NOT CLAD, PLATED OR COATED - NOT FURTHER WORKED THAN COLD-ROLLED (COLD-REDUCED) : OTHER : FLATS",,Iron and Steel,72112910,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
299,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF LESS THAN 600 MM, NOT CLAD, PLATED OR COATED - NOT FURTHER WORKED THAN COLD-ROLLED (COLD-REDUCED) : OTHER : UNIVERSAL PLATES",,Iron and Steel,72112920,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
300,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF LESS THAN 600 MM, NOT CLAD, PLATED OR COATED - NOT FURTHER WORKED THAN COLD-ROLLED (COLD-REDUCED) : OTHER : HOOPS",,Iron and Steel,72112930,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
301,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF LESS THAN 600 MM, NOT CLAD, PLATED OR COATED - NOT FURTHER WORKED THAN COLD-ROLLED (COLD-REDUCED) : OTHER : SHEETS",,Iron and Steel,72112940,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
302,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF LESS THAN 600 MM, NOT CLAD, PLATED OR COATED - NOT FURTHER WORKED THAN COLD-ROLLED (COLD-REDUCED) : OTHER : STRIP",,Iron and Steel,72112950,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
303,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF LESS THAN 600 MM, NOT CLAD, PLATED OR COATED - NOT FURTHER WORKED THAN COLD-ROLLED (COLD-REDUCED) : OTHER : SKELP",,Iron and Steel,72112960,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
304,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF LESS THAN 600 MM, NOT CLAD, PLATED OR COATED - NOT FURTHER WORKED THAN COLD-ROLLED (COLD-REDUCED) : OTHER : OTHER",,Iron and Steel,72112990,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
305,Other,,Iron and Steel,721190,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
306,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF LESS THAN 600 MM, NOT CLAD, PLATED OR COATED - OTHER : UNIVERSAL PLATES : OF BOILER QUALITY",,Iron and Steel,72119011,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
307,"FLAT-ROLLED PRODUCTS OF IRON OR NON-ALLOY STEEL, OF A WIDTH OF LESS THAN 600 MM, NOT CLAD, PLATED OR COATED - OTHER : UNIVERSAL PLATES : OF HIGH TENSILE QUALITY",,Iron and Steel,72119012,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
