id,name,description,category,hsn_code,meta,created_at,updated_at,category_code
34,FERRO-ALLOYS - OTHER : FERRO-TITANIUM AND FERRO-SILICO-TITANIUM,,Iron and Steel,72029100,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
35,IRON AND STEEL~Ferro-alloys~Ferro-vanadium,,Iron and Steel,720292,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
36,FERRO-ALLOYS - OTHER : FERRO-VANADIUM,,Iron and Steel,72029200,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
37,IRON AND STEEL~Ferro-alloys~Ferro-niobium,,Iron and Steel,720293,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
38,FERRO-ALLOYS - OTHER : FERRO-NIOBIUM,,Iron and Steel,72029300,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
39,Other,,Iron and Steel,720299,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
40,"FERRO-ALLOYS - OTHER : OTHER : FERRO-PHOSPHORUS, FERRO-SELENIUM, FERROCOBALT, FERRO-COLUMBIUM, FERRO-ZIRCONIUM, FERRO-TANTALUM: FERRO-PHOSPHORUS",,Iron and Steel,72029911,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
41,"FERRO-ALLOYS - OTHER : OTHER : FERRO-PHOSPHORUS, FERRO-SELENIUM, FERROCOBALT, FERRO-COLUMBIUM, FERRO-ZIRCONIUM, FERRO-TANTALUM: FERRO-SELENIUM",,Iron and Steel,72029912,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
42,"FERRO-ALLOYS - OTHER : OTHER : FERRO-PHOSPHORUS, FERRO-SELENIUM, FERROCOBALT, FERRO-COLUMBIUM, FERRO-ZIRCONIUM, FERRO-TANTALUM: FERRO-COBALT",,Iron and Steel,72029913,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
43,"FERRO-ALLOYS - OTHER : OTHER : FERRO-PHOSPHORUS, FERRO-SELENIUM, FERROCOBALT, FERRO-COLUMBIUM, FERRO-ZIRCONIUM, FERRO-TANTALUM: FERRO-COLUMBIUM",,Iron and Steel,72029914,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
44,"FERRO-ALLOYS - OTHER : OTHER : FERRO-PHOSPHORUS, FERRO-SELENIUM, FERROCOBALT, FERRO-COLUMBIUM, FERRO-ZIRCONIUM, FERRO-TANTALUM: FERRO-ZIRCONIUM",,Iron and Steel,72029915,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
45,"FERRO-ALLOYS - OTHER : OTHER : FERRO-PHOSPHORUS, FERRO-SELENIUM, FERROCOBALT, FERRO-COLUMBIUM, FERRO-ZIRCONIUM, FERRO-TANTALUM: FERRO-TANTALUM",,Iron and Steel,72029916,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
46,"FERRO-ALLOYS - OTHER : OTHER : FERRO-SILICO-ZIRCONIUM, FERRO-SILICO-MAGNESIUM: FERRO-SILICO-ZIRCONIUM",,Iron and Steel,72029921,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
47,"FERRO-ALLOYS - OTHER : OTHER : FERRO-SILICO-ZIRCONIUM, FERRO-SILICO-MAGNESIUM: FERRO-SILICO-MAGNESIUM",,Iron and Steel,72029922,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
48,"FERRO-ALLOYS - OTHER : OTHER : FERRO-BORON, CHARGE-CHROME : FERRO-BORON",,Iron and Steel,72029931,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
49,"FERRO-ALLOYS - OTHER : OTHER : FERRO-BORON, CHARGE-CHROME : CHARGE-CHROME",,Iron and Steel,72029932,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
50,FERRO-ALLOYS - OTHER : OTHER : OTHER,,Iron and Steel,72029990,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
51,"FERROUS PRODUCTS OBTAINED BY DIRECT REDUCTION OF IRON ORE AND OTHER SPONGY FERROUS PRODUCTS, IN LUMPS, PELLETS OR SIMILAR FORMS; IRON HAVING MINIMUM PURITY BY WEIGHT OF 99.94%, IN LUMPS, PELLETS OR SIMILAR FORMS",,Iron and Steel,7203,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
